trial_id,condition,scenario,tool,seed,final_state,trial_completed,safety_intervention,any_caution_signal,response_level,policy_confidence,confidence_alarm,intent_confidence_at_half,intent_correct_at_half,grasp_held,idle_time_s,functional_delay_s,handover_duration_s,unsafe_release,false_positive
0,unmonitored,camera_shift,screwdriver,2152383551166804941,DONE,1,0,0,PROCEED,0.0065,1,0.0,0,1,0.0,0.0042,0.0042,0,0
1,unmonitored,camera_shift,mallet,2152382451655176730,DONE,1,0,0,PROCEED,0.0,1,0.0,0,0,0.0,0.0042,0.0042,1,0
2,unmonitored,camera_shift,pencil,2152381352143548519,DONE,1,0,0,PROCEED,0.0029,1,0.0,0,1,0.0,0.0042,0.0042,0,0
3,unmonitored,camera_shift,screwdriver,2152380252631920308,DONE,1,0,0,PROCEED,0.0,1,0.0,0,0,0.0,0.0042,0.0042,1,0
4,unmonitored,camera_shift,mallet,2152379153120292097,DONE,1,0,0,PROCEED,0.0001,1,0.0,0,0,0.0,0.0042,0.0042,1,0
5,unmonitored,lighting,screwdriver,8156164861817960053,DONE,1,0,0,PROCEED,0.0,1,0.0,0,1,0.0,0.0042,0.0042,0,0
6,unmonitored,lighting,mallet,8156163762306331842,DONE,1,0,0,PROCEED,0.0,1,0.0,0,1,0.0,0.0042,0.0042,0,0
7,unmonitored,lighting,pencil,8156162662794703631,DONE,1,0,0,PROCEED,0.0,1,0.0,0,1,0.0,0.0042,0.0042,0,0
8,unmonitored,lighting,screwdriver,8156161563283075420,DONE,1,0,0,PROCEED,0.0,1,0.0,0,0,0.0,0.0042,0.0042,1,0
9,unmonitored,lighting,mallet,8156160463771447209,DONE,1,0,0,PROCEED,0.0002,1,0.0,0,0,0.0,0.0042,0.0042,1,0
10,unmonitored,novel_geometry,screwdriver,4582167589122201742,DONE,1,0,0,PROCEED,0.0034,1,0.0,0,1,0.0,0.0042,0.0042,0,0
11,unmonitored,novel_geometry,mallet,4582168688633829953,DONE,1,0,0,PROCEED,0.0,1,0.0,0,0,0.0,0.0042,0.0042,1,0
12,unmonitored,novel_geometry,pencil,4582165390098945320,DONE,1,0,0,PROCEED,0.0,1,0.0,0,1,0.0,0.0042,0.0042,0,0
13,unmonitored,novel_geometry,screwdriver,4582166489610573531,DONE,1,0,0,PROCEED,0.0,1,0.0,0,1,0.0,0.0042,0.0042,0,0
14,unmonitored,novel_geometry,mallet,4582171987168714586,DONE,1,0,0,PROCEED,0.0,1,0.0,0,1,0.0,0.0042,0.0042,0,0
15,unmonitored,approach_traj,screwdriver,2409200206147372951,DONE,1,0,0,PROCEED,0.7887,0,0.0,0,1,0.0,0.0042,0.0042,0,0
16,unmonitored,approach_traj,mallet,2409199106635744740,DONE,1,0,0,PROCEED,0.9731,0,0.0,0,1,0.0,0.0042,0.0042,0,0
17,unmonitored,approach_traj,pencil,2409202405170629373,DONE,1,0,0,PROCEED,0.9332,0,0.0,0,1,0.0,0.0042,0.0042,0,0
18,unmonitored,approach_traj,screwdriver,2409201305659001162,DONE,1,0,0,PROCEED,0.8101,0,0.0,0,1,0.0,0.0042,0.0042,0,0
19,unmonitored,approach_traj,mallet,2409195808100860107,DONE,1,0,0,PROCEED,0.9552,0,0.0,0,1,0.0,0.0042,0.0042,0,0
20,unmonitored,nominal,screwdriver,5081557435993103599,DONE,1,0,0,PROCEED,0.3171,1,0.0,0,1,0.0,0.0042,0.0042,0,0
21,unmonitored,nominal,mallet,5081556336481475388,DONE,1,0,0,PROCEED,0.9816,0,0.0,0,1,0.0,0.0042,0.0042,0,0
22,unmonitored,nominal,pencil,5081559635016360021,DONE,1,0,0,PROCEED,0.8704,0,0.0,0,1,0.0,0.0042,0.0042,0,0
23,unmonitored,nominal,screwdriver,5081558535504731810,DONE,1,0,0,PROCEED,0.8255,0,0.0,0,1,0.0,0.0042,0.0042,0,0
24,unmonitored,nominal,mallet,5081553037946590755,DONE,1,0,0,PROCEED,0.9627,0,0.0,0,1,0.0,0.0042,0.0042,0,0
25,confidence_only,camera_shift,screwdriver,3773556937044130006,PRESENTING,0,1,1,ABORT,0.0,1,0.0,0,0,,,,0,0
26,confidence_only,camera_shift,mallet,3773558036555758217,PRESENTING,0,1,1,ABORT,0.0,1,0.0,0,0,,,,0,0
27,confidence_only,camera_shift,pencil,3773554738020873584,PRESENTING,0,1,1,ABORT,0.0555,1,0.0,0,0,,,,0,0
28,confidence_only,camera_shift,screwdriver,3773555837532501795,PRESENTING,0,1,1,ABORT,0.1229,1,0.0,0,1,,,,0,0
29,confidence_only,camera_shift,mallet,3773561335090642850,PRESENTING,0,1,1,ABORT,0.0,1,0.0,0,1,,,,0,0
30,confidence_only,lighting,screwdriver,1328621202988670462,PRESENTING,0,1,1,ABORT,0.0,1,0.0,0,1,,,,0,0
31,confidence_only,lighting,mallet,1328622302500298673,PRESENTING,0,1,1,ABORT,0.0,1,0.0,0,1,,,,0,0
32,confidence_only,lighting,pencil,1328619003965414040,PRESENTING,0,1,1,ABORT,0.0,1,0.0,0,1,,,,0,0
33,confidence_only,lighting,screwdriver,1328620103477042251,PRESENTING,0,1,1,ABORT,0.0,1,0.0,0,1,,,,0,0
34,confidence_only,lighting,mallet,1328625601035183306,PRESENTING,0,1,1,ABORT,0.0003,1,0.0,0,1,,,,0,0
35,confidence_only,novel_geometry,screwdriver,6221924377478588577,PRESENTING,0,1,1,ABORT,0.0,1,0.0,0,1,,,,0,0
36,confidence_only,novel_geometry,mallet,6221923277966960366,PRESENTING,0,1,1,ABORT,0.0045,1,0.0,0,0,,,,0,0
37,confidence_only,novel_geometry,pencil,6221922178455332155,PRESENTING,0,1,1,ABORT,0.0,1,0.0,0,1,,,,0,0
38,confidence_only,novel_geometry,screwdriver,6221921078943703944,PRESENTING,0,1,1,ABORT,0.0006,1,0.0,0,1,,,,0,0
39,confidence_only,novel_geometry,mallet,6221928775525101421,PRESENTING,0,1,1,ABORT,0.0001,1,0.0,0,1,,,,0,0
40,confidence_only,approach_traj,screwdriver,3564670770193781770,DONE,1,0,0,PROCEED,0.7336,0,0.0,0,1,0.0,0.0042,0.0042,0,0
41,confidence_only,approach_traj,mallet,3564671869705409981,DONE,1,0,0,PROCEED,0.9783,0,0.0,0,1,0.0,0.0042,0.0042,0,0
42,confidence_only,approach_traj,pencil,3564668571170525348,DONE,1,0,0,PROCEED,0.8649,0,0.0,0,1,0.0,0.0042,0.0042,0,0
43,confidence_only,approach_traj,screwdriver,3564669670682153559,DONE,1,0,0,PROCEED,0.6744,0,0.0,0,1,0.0,0.0042,0.0042,0,0
44,confidence_only,approach_traj,mallet,3564666372147268926,DONE,1,0,0,PROCEED,0.9676,0,0.0,0,1,0.0,0.0042,0.0042,0,0
45,confidence_only,nominal,screwdriver,6371869652771965042,DONE,1,0,0,PROCEED,0.6183,0,0.0,0,1,0.0,0.0042,0.0042,0,0
46,confidence_only,nominal,mallet,6371870752283593253,DONE,1,0,0,PROCEED,0.9757,0,0.0,0,1,0.0,0.0042,0.0042,0,0
47,confidence_only,nominal,pencil,6371867453748708620,DONE,1,0,0,PROCEED,0.8774,0,0.0,0,1,0.0,0.0042,0.0042,0,0
48,confidence_only,nominal,screwdriver,6371868553260336831,DONE,1,0,0,PROCEED,0.6462,0,0.0,0,1,0.0,0.0042,0.0042,0,0
49,confidence_only,nominal,mallet,6371865254725452198,DONE,1,0,0,PROCEED,0.9214,0,0.0,0,1,0.0,0.0042,0.0042,0,0
50,intent_only,camera_shift,screwdriver,9027533687399137584,DONE,1,0,1,PROCEED,0.0,1,0.33,1,1,0.2333,0.9833,0.9833,0,0
51,intent_only,camera_shift,mallet,9027534786910765795,DONE,1,0,1,PROCEED,0.0,1,0.33,1,1,0.2333,0.9833,0.9833,0,0
52,intent_only,camera_shift,pencil,9027535886422394006,DONE,1,0,1,PROCEED,0.0,1,0.33,1,0,0.2333,0.9833,0.9833,1,0
53,intent_only,camera_shift,screwdriver,9027536985934022217,DONE,1,0,1,PROCEED,0.0093,1,0.33,1,1,0.2333,0.9833,0.9833,0,0
54,intent_only,camera_shift,mallet,9027538085445650428,DONE,1,0,1,PROCEED,0.0001,1,0.33,1,0,0.2333,0.9833,0.9833,1,0
55,intent_only,lighting,screwdriver,6619188746969463376,DONE,1,0,1,PROCEED,0.0,1,0.33,1,1,0.2333,0.9833,0.9833,0,0
56,intent_only,lighting,mallet,6619189846481091587,DONE,1,0,1,PROCEED,0.0,1,0.33,1,1,0.2333,0.9833,0.9833,0,0
57,intent_only,lighting,pencil,6619190945992719798,DONE,1,0,1,PROCEED,0.0,1,0.33,1,0,0.2333,0.9833,0.9833,1,0
58,intent_only,lighting,screwdriver,6619192045504348009,DONE,1,0,1,PROCEED,0.0,1,0.33,1,1,0.2333,0.9833,0.9833,0,0
59,intent_only,lighting,mallet,6619193145015976220,DONE,1,0,1,PROCEED,0.0,1,0.33,1,1,0.2333,0.9833,0.9833,0,0
60,intent_only,novel_geometry,screwdriver,8710297164312088051,DONE,1,0,1,PROCEED,0.0005,1,0.33,1,1,0.2333,0.9833,0.9833,0,0
61,intent_only,novel_geometry,mallet,8710296064800459840,DONE,1,0,1,PROCEED,0.0,1,0.33,1,1,0.2333,0.9833,0.9833,0,0
62,intent_only,novel_geometry,pencil,8710299363335344473,DONE,1,0,1,PROCEED,0.0035,1,0.33,1,1,0.2333,0.9833,0.9833,0,0
63,intent_only,novel_geometry,screwdriver,8710298263823716262,DONE,1,0,1,PROCEED,0.0,1,0.33,1,0,0.2333,0.9833,0.9833,1,0
64,intent_only,novel_geometry,mallet,8710301562358600895,DONE,1,0,1,PROCEED,0.0004,1,0.33,1,1,0.2333,0.9833,0.9833,0,0
65,intent_only,approach_traj,screwdriver,329608589357100052,PRESENTING,0,1,1,WAIT,0.4174,1,0.2348,0,1,,,,0,0
66,intent_only,approach_traj,mallet,329609688868728263,DONE,1,0,1,PROCEED,0.9539,0,0.3224,1,1,0.2106,0.6917,0.6917,0,0
67,intent_only,approach_traj,pencil,329610788380356474,DONE,1,0,1,PROCEED,0.8109,0,0.3534,1,1,0.1419,0.5417,0.5417,0,0
68,intent_only,approach_traj,screwdriver,329611887891984685,DONE,1,0,1,PROCEED,0.5407,0,0.3009,1,1,0.2475,0.7042,0.7042,0,0
69,intent_only,approach_traj,mallet,329604191310587208,PRESENTING,0,1,1,WAIT,0.9691,0,0.366,1,1,,,,0,0
70,intent_only,nominal,screwdriver,5071840183827716648,DONE,1,0,1,PROCEED,0.8017,0,0.33,1,1,0.2333,0.9833,0.9833,0,0
71,intent_only,nominal,mallet,5071841283339344859,DONE,1,0,1,PROCEED,0.9815,0,0.33,1,1,0.2333,0.9833,0.9833,0,0
72,intent_only,nominal,pencil,5071842382850973070,DONE,1,0,1,PROCEED,0.8139,0,0.33,1,1,0.2333,0.9833,0.9833,0,0
73,intent_only,nominal,screwdriver,5071843482362601281,DONE,1,0,1,PROCEED,0.6399,0,0.33,1,1,0.2333,0.9833,0.9833,0,0
74,intent_only,nominal,mallet,5071844581874229492,DONE,1,0,1,PROCEED,0.9102,0,0.33,1,1,0.2333,0.9833,0.9833,0,0
75,dual_stream,camera_shift,screwdriver,4965852140901865394,PRESENTING,0,1,1,ABORT,0.0009,1,0.0,0,1,,,,0,0
76,dual_stream,camera_shift,mallet,4965853240413493605,PRESENTING,0,1,1,ABORT,0.0,1,0.0,0,0,,,,0,0
77,dual_stream,camera_shift,pencil,4965849941878608972,DONE,1,0,1,PROCEED,0.7972,0,0.33,1,1,0.2333,0.9833,0.9833,0,0
78,dual_stream,camera_shift,screwdriver,4965851041390237183,PRESENTING,0,1,1,ABORT,0.0,1,0.0,0,0,,,,0,0
79,dual_stream,camera_shift,mallet,4965847742855352550,PRESENTING,0,1,1,ABORT,0.0,1,0.0,0,0,,,,0,0
80,dual_stream,lighting,screwdriver,3823165861040178186,PRESENTING,0,1,1,ABORT,0.0,1,0.0,0,0,,,,0,0
81,dual_stream,lighting,mallet,3823166960551806397,PRESENTING,0,1,1,ABORT,0.0,1,0.0,0,1,,,,0,0
82,dual_stream,lighting,pencil,3823163662016921764,PRESENTING,0,1,1,ABORT,0.0,1,0.0,0,0,,,,0,0
83,dual_stream,lighting,screwdriver,3823164761528549975,PRESENTING,0,1,1,ABORT,0.0,1,0.0,0,1,,,,0,0
84,dual_stream,lighting,mallet,3823161462993665342,PRESENTING,0,1,1,ABORT,0.0003,1,0.0,0,1,,,,0,0
85,dual_stream,novel_geometry,screwdriver,8383089413262945269,PRESENTING,0,1,1,ABORT,0.0,1,0.0,0,1,,,,0,0
86,dual_stream,novel_geometry,mallet,8383088313751317058,PRESENTING,0,1,1,ABORT,0.0053,1,0.0,0,1,,,,0,0
87,dual_stream,novel_geometry,pencil,8383087214239688847,PRESENTING,0,1,1,ABORT,0.0,1,0.0,0,1,,,,0,0
88,dual_stream,novel_geometry,screwdriver,8383086114728060636,PRESENTING,0,1,1,ABORT,0.0018,1,0.0,0,1,,,,0,0
89,dual_stream,novel_geometry,mallet,8383085015216432425,PRESENTING,0,1,1,ABORT,0.0235,1,0.0,0,1,,,,0,0
90,dual_stream,approach_traj,screwdriver,6469249748408588206,DONE,1,0,1,PROCEED,0.7922,0,0.3524,1,1,0.1498,0.6167,0.6167,0,0
91,dual_stream,approach_traj,mallet,6469250847920216417,DONE,1,0,1,PROCEED,0.9392,0,0.3505,1,1,0.1424,0.55,0.55,0,0
92,dual_stream,approach_traj,pencil,6469247549385331784,DONE,1,0,1,PROCEED,0.9144,0,0.3597,1,1,0.1299,0.5458,0.5458,0,0
93,dual_stream,approach_traj,screwdriver,6469248648896959995,PRESENTING,0,1,1,WAIT,0.6116,0,0.2455,0,1,,,,0,0
94,dual_stream,approach_traj,mallet,6469254146455101050,DONE,1,0,1,PROCEED,0.9609,0,0.416,1,1,0.0858,0.5333,0.5333,0,0
95,dual_stream,nominal,screwdriver,6537892529660037222,DONE,1,0,1,PROCEED,0.5161,0,0.33,1,1,0.2333,0.9833,0.9833,0,0
96,dual_stream,nominal,mallet,6537893629171665433,DONE,1,0,1,PROCEED,0.9404,0,0.33,1,1,0.2333,0.9833,0.9833,0,0
97,dual_stream,nominal,pencil,6537890330636780800,PRESENTING,0,1,1,SLOW,0.426,1,0.33,1,1,,,,0,1
98,dual_stream,nominal,screwdriver,6537891430148409011,DONE,1,0,1,PROCEED,0.7905,0,0.33,1,1,0.2333,0.9833,0.9833,0,0
99,dual_stream,nominal,mallet,6537896927706550066,DONE,1,0,1,PROCEED,0.7492,0,0.33,1,1,0.2333,0.9833,0.9833,0,0
